source,locality,city,bhk,price,price_unit,deposit,area_sqft,floor,total_floors,furnishing,url,scraped_locality,lat,lng,location_exact
squareyards,Mahalaxmi,Mumbai,2,200000,per_month,,883,1,30,semi-furnished,https://www.squareyards.com/rental-2-bhk-study-room-883-sq-ft-apartment-in-prestige-jasdan-classic/10523363,Mahalaxmi,18.982069,72.831475,True
squareyards,Malad East,Mumbai,2,65000,per_month,,700,,,furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-swapnalok-towers/10542771,Malad East,19.17738,72.87081,True
squareyards,Mulund East,Mumbai,3,50000,per_month,,790,,,unfurnished,https://www.squareyards.com/rental-3-bhk-prayer-room-servant-room-study-room-extra-room-store-room-790-sq-ft-apartment-in-mulund-east/10521822,Mulund East,19.0865579894721,72.8810664643325,True
squareyards,Mulund West,Mumbai,2,50000,per_month,,1000,18,,furnished,https://www.squareyards.com/rental-2-bhk-study-room-1000-sq-ft-apartment-in-mulund-west/10543436,Mulund West,19.0865579894721,72.8810664643325,True
squareyards,Malad West,Mumbai,1,48000,per_month,,485,22,,semi-furnished,https://www.squareyards.com/rental-1-bhk-485-sq-ft-apartment-in-ajmera-boulevard/10449131,Malad West,19.191133,72.837761,True
squareyards,Chembur,Mumbai,3,111000,per_month,,1225,6,,furnished,https://www.squareyards.com/rental-3-bhk-1225-sq-ft-apartment-in-sabari-shikhar/10511140,Chembur,19.055757,72.895153,True
squareyards,Andheri West,Mumbai,3,90000,per_month,,1500,5,,semi-furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-1500-sq-ft-apartment-in-serenity-tower/10543771,Andheri West,19.129748,72.829156,True
squareyards,Sandesh Nagar,Mumbai,1,42000,per_month,,265,4,15,semi-furnished,https://www.squareyards.com/rental-1-bhk-extra-room-265-sq-ft-apartment-in-sandesh-nagar/10484165,Sandesh Nagar,19.0865579894721,72.8810664643325,True
squareyards,Marol,Mumbai,,30000,per_month,,300,,,furnished,https://www.squareyards.com/rental-300-sq-ft-pg-in-marol/10474503,Marol,19.1185099,72.8730234,True
squareyards,Sion,Mumbai,1,50000,per_month,,450,2,,furnished,https://www.squareyards.com/rental-1-bhk-450-sq-ft-apartment-in-unique-tower/10542651,Sion,19.052195,72.876823,True
