listing_id,locality,tier,bhk,area_sqft,furnishing,floor,metro_km,lat,lng,actual_rent,predicted_rent,error,pct_error,abs_pct_error,solo_locality,pricing_flag,median_rent,median_rent_per_sqft
695,Goregaon West,budget,1,440,unfurnished,7.0,4.03,19.149847,72.844781,37000,37354,-354,-1.0,1.0,0,In line with model,76000.0,98.2
696,Ghatkopar West,mid,1,395,semi-furnished,5.0,2.93,19.08042,72.889902,45000,43874,1126,2.5,2.5,0,In line with model,119000.0,116.75
697,Malad East,budget,5,1050,unfurnished,24.0,5.63,19.185336,72.850756,65000,108703,-43703,-67.2,67.2,0,Listed below model (possible underpricing),65000.0,92.5
698,Chembur,mid,2,740,furnished,6.0,0.64,19.05020225,72.88842043,85000,82137,2863,3.4,3.4,0,In line with model,85000.0,104.2
699,Gulmohar Road,premium,3,1350,furnished,6.0,2.63,19.1144144,72.8306691,300000,197172,102828,34.3,34.3,1,Listed above model (check overpricing),300000.0,222.2
700,Chembur,mid,3,1100,unfurnished,4.0,0.29,19.055537,72.890513,115000,119329,-4329,-3.8,3.8,0,In line with model,85000.0,104.2
701,Prabhadevi,premium,3,1210,unfurnished,14.0,0.27,19.01347,72.8307,250000,200269,49731,19.9,19.9,0,Listed above model (check overpricing),272500.0,183.3
702,Worli,premium,1,400,furnished,15.0,0.47,19.006237,72.822921,65000,91430,-26430,-40.7,40.7,0,Listed below model (possible underpricing),290250.0,251.8
703,Chembur,mid,2,750,furnished,5.0,0.96,19.062717,72.892611,75000,83820,-8820,-11.8,11.8,0,In line with model,85000.0,104.2
704,Prabhadevi,premium,4,2150,unfurnished,20.0,0.58,19.010713,72.830626,650000,367843,282157,43.4,43.4,0,Listed above model (check overpricing),272500.0,183.3
705,Powai,mid,3,1450,furnished,5.0,3.52,19.119467,72.910025,150000,166810,-16810,-11.2,11.2,0,In line with model,85000.0,104.0
706,Chembur,mid,2,650,unfurnished,3.0,0.47,19.051074,72.889669,75000,72240,2760,3.7,3.7,0,In line with model,85000.0,104.2
707,Lower Parel,premium,2,1560,unfurnished,10.0,0.83,19.003329,72.824829,300000,261719,38281,12.8,12.8,0,In line with model,280000.0,181.35
708,Worli,premium,3,1322,unfurnished,20.0,1.04,19.006199,72.828843,420000,293942,126058,30.0,30.0,0,Listed above model (check overpricing),290250.0,251.8
709,Worli,premium,2,856,furnished,25.0,1.21,19.00401,72.82973,260000,197884,62116,23.9,23.9,0,Listed above model (check overpricing),290250.0,251.8
710,Dadar West,mid,2,850,semi-furnished,20.0,0.36,19.0136354304109,72.8333579261883,130000,88863,41137,31.6,31.6,0,Listed above model (check overpricing),130000.0,122.7
711,Kanjurmarg West,budget,2,740,semi-furnished,7.0,6.01,19.136279,72.929861,58000,63924,-5924,-10.2,10.2,0,In line with model,97000.0,90.3
712,Goregaon West,budget,5,1450,semi-furnished,28.0,4.59,19.152468,72.840204,175000,139686,35314,20.2,20.2,0,Listed above model (check overpricing),76000.0,98.2
713,Andheri East,budget,5,650,furnished,6.0,1.45,19.117297,72.847509,45000,70912,-25912,-57.6,57.6,0,Listed below model (possible underpricing),75000.0,100.0
